Date,High,Low,Open,Close,Volume,Adj Close
2018-07-02,7.699999809265137,7.400000095367432,7.690000057220459,7.429999828338623,35938953.0,7.094042778015137
2018-07-03,7.53000020980835,7.329999923706055,7.440000057220459,7.489999771118164,30980723.0,7.15132999420166
2018-07-04,7.539999961853027,7.420000076293945,7.449999809265137,7.46999979019165,21047034.0,7.1322340965271
2018-07-05,7.550000190734863,7.420000076293945,7.460000038146973,7.46999979019165,20757221.0,7.1322340965271
2018-07-06,7.53000020980835,7.309999942779541,7.480000019073486,7.480000019073486,28380482.0,7.141782283782959
2018-07-09,7.710000038146973,7.489999771118164,7.489999771118164,7.710000038146973,34806259.0,7.361382484436035
2018-07-10,7.739999771118164,7.610000133514404,7.71999979019165,7.690000057220459,29142357.0,7.342287063598633
2018-07-11,7.639999866485596,7.510000228881836,7.599999904632568,7.570000171661377,21461636.0,7.227713108062744
2018-07-12,7.75,7.550000190734863,7.550000190734863,7.690000057220459,32534651.0,7.342287063598633
2018-07-13,7.730000019073486,7.639999866485596,7.690000057220459,7.690000057220459,22119283.0,7.342287063598633
2018-07-16,7.690000057220459,7.550000190734863,7.650000095367432,7.570000171661377,18057197.0,7.227713108062744
2018-07-17,7.599999904632568,7.53000020980835,7.599999904632568,7.579999923706055,12227150.0,7.237260818481445
2018-07-18,7.670000076293945,7.539999961853027,7.590000152587891,7.570000171661377,14952073.0,7.227713108062744
2018-07-19,7.610000133514404,7.519999980926514,7.579999923706055,7.579999923706055,17941250.0,7.237260818481445
2018-07-20,8.0,7.5,7.590000152587891,7.980000019073486,71876180.0,7.619174480438232
2018-07-23,8.170000076293945,7.880000114440918,7.900000095367432,8.09000015258789,56564692.0,7.72420072555542
2018-07-24,8.220000267028809,8.029999732971191,8.050000190734863,8.050000190734863,52107857.0,7.686009407043457
2018-07-25,8.119999885559082,8.010000228881836,8.0600004196167,8.100000381469727,24578539.0,7.733748435974121
2018-07-26,8.180000305175781,8.029999732971191,8.119999885559082,8.039999961853027,24766221.0,7.676461219787598
2018-07-27,8.079999923706055,7.949999809265137,8.039999961853027,8.029999732971191,18232878.0,7.666913032531738
2018-07-30,8.149999618530273,8.0,8.039999961853027,8.069999694824219,23688548.0,7.705104351043701
